method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	3385196	345748	3387268	324277	3049402	553271	2737782	468698
greedy-maxone	2247004	595928	2248064	455157	1848846	421793	1659912	417888
greedy-minrun	2247004	577236	2248064	434066	1848846	405326	1659912	401062
joint-1	2238064	576468	2238604	429915	1839916	402780	1653885	398934
joint-250	2305396	117328	2276404	64141	1880434	64388	1687604	64379
joint-30	2205624	283564	2209012	168858	1815494	168074	1630838	165637
joint-400	2306812	116016	2278472	63203	1883709	62829	1689809	63345
joint-70	2239720	181816	2232452	104786	1828929	103535	1641657	103317
joint-7	2226116	391044	2227552	249055	1832209	245373	1646708	242288
kmer_count	12675558	12675558	12675558	12675558	12675558	12675558	12675558	12675558
matchtigs	2451720	140840	2452488	131538	2056021	203807	1850838	186540
