method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	5368490	0	5368490	0	5368490	0	5368490	0
eulertigs	4925808	518652	4857544	490199	4045503	799438	3676615	770275
greedy-maxone	3244224	983716	3077396	591451	2271820	583481	2100370	591551
greedy-minrun	3244224	964920	3077396	570032	2271820	565479	2100370	575889
kmer_count	30369141	30369141	30369141	30369141	30369141	30369141	30369141	30369141
matchtigs	3570392	186772	3298972	174283	2534439	251805	2352018	268729
method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
pareto-128	3315672	327296	3016516	166642	2248370	167893	2089288	174331
pareto-1	3236580	973992	3066948	578272	2259680	571001	2094125	582101
pareto-256	3412540	236112	3045804	120105	2296754	121314	2128661	129723
pareto-32	3237736	540960	3023784	278518	2241406	285999	2080521	290954
pareto-512	3481152	204196	3076624	103885	2337763	102936	2169354	112596
pareto-8	3240872	685408	3054464	365866	2255784	375133	2090040	386140
