method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	2720576	134280	2723928	132141	2535030	230730	2178728	225656
greedy-maxone	2155248	207292	2158276	125894	2015966	128998	1648187	127323
greedy-minrun	2155248	207020	2158276	125614	2015966	128846	1648187	127103
joint-1	2151164	205672	2152944	123275	2010570	126596	1638492	124693
joint-250	2170480	55612	2163872	30521	2047002	30966	1427389	32077
joint-30	2112012	150940	2113804	84038	1983136	87284	1546923	85883
joint-400	2213884	42568	2205836	23092	2094180	23877	1420216	25385
joint-70	2114692	110840	2111944	60766	1985737	62143	1488605	61829
joint-7	2138644	190976	2141980	111433	2000872	115210	1613811	113276
kmer_count	9621316	9621316	9621316	9621316	9621316	9621316	9621316	9621316
matchtigs	2228940	77512	2230388	72233	2144757	112250	1693497	104156
