method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	2604746	0	2604746	0	2604746	0	2604746	0
eulertigs	2528228	215312	2530056	208016	2410023	196344	2388723	188446
greedy-maxone	1871024	266320	1871516	208964	1782555	183114	1764140	182583
greedy-minrun	1871024	259656	1871516	199755	1782555	176659	1764140	176697
kmer_count	6634375	6634375	6634375	6634375	6634375	6634375	6634375	6634375
matchtigs	2069884	78664	2070756	72541	1956955	73683	1905515	70173
pareto-1	1866340	246484	1868224	185629	1777009	165108	1756314	164992
pareto-128	2142692	4464	2144144	2074	1870336	4574	1742414	5959
pareto-256	2150768	1780	2152748	196	1873486	3947	1744094	5334
pareto-32	1999808	78448	2001176	43822	1826115	41922	1736235	42538
pareto-512	2151108	1768	2152124	191	1874051	3952	1743907	5369
pareto-8	1885044	179408	1885460	118438	1782989	110612	1743184	110847
